date,plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,curtail_kwh,storage_start,storage_end,plan_cost_yuan,emergency_cost_yuan,daily_cost_yuan,storage_min,storage_max,pool_size,k_eff,mode,objective_yuan,theta_mean,theta_total_yuan,tangent_count,value_at_s_min,value_at_s_max,dec_storage_end_mean,dec_storage_end_min,dec_storage_end_max,dec_plan_kwh,solver_path
2025-05-16,36181.81133,1274.691888,1032.50043,0,33224.11334,1200,1200,26269.00387,0,26269.00387,1200,2097.163002,45,8.114690565,kernel,55433.66374,27998.82847,27086.36736,64,28347.28675,26996.37796,9870.910685,1200,10780.55294,592.222685,highs+presolve
2025-05-17,36378.38048,1549.263338,1254.903304,0,25635.22137,1200,1200,26395.64847,0,26395.64847,1200,2203.31102,46,8.861106529,kernel,56395.38996,28507.95295,27440.1981,64,28955.18223,27321.83201,9858.588164,1200,10788.22675,731.3421884,highs+presolve
2025-05-18,62005.94675,1830.404475,1482.627625,0,7982.001796,1200,1200,47691.45388,0,47691.45388,1200,2115.770923,47,22.01695505,kernel,94888.35091,47096.69163,47086.16445,34,47802.18136,47084.01459,5787.505774,1578.224975,5935.506291,39.65250448,highs+presolve
2025-05-19,61901.64871,1283.985788,1040.028488,0,14142.47486,1200,1200,47602.86049,0,47602.86049,1200,2195.042922,48,22.43522321,kernel,94713.28518,47016.4252,47004.79731,35,47708.48275,47003.13478,5808.98554,1461.518963,5950.469624,38.7279366,highs+presolve
2025-05-20,61763.02682,2040.02631,1652.421311,0,6848.027001,1200,1200,47453.82708,0,47453.82708,1200,2478.955097,49,22.56561774,kernel,94375.57707,46840.55331,46826.6744,35,47548.8974,46825.44011,5940.339404,1357.276309,6088.852588,36.82635213,highs+presolve
2025-05-21,61748.03681,2476.891391,2006.282027,0,9914.812164,1200,1200,47454.52868,0,47454.52868,1200,3051.139975,50,22.46929279,kernel,94412.59237,46849.12968,46834.62843,37,47577.95859,46833.44873,6013.401616,1348.681533,6189.697784,48.68176846,highs+presolve
2025-05-22,61685.6055,1132.255745,917.1271534,0,10653.8461,1200,1200,47382.29263,0,47382.29263,1200,1778.201279,51,21.64674555,kernel,94290.24265,46770.33651,46755.08812,35,47535.14888,46754.35671,6187.452649,1382.415945,6380.745063,59.87051519,highs+presolve
2025-05-23,35921.08843,973.2029803,788.294414,0,29315.23099,1200,1200,25952.66347,0,25952.66347,1200,1734.759643,52,9.505039674,kernel,53187.45431,26777.3522,26186.26241,65,27001.18223,26142.99188,9899.421776,1200,10784.63037,305.9377415,highs+presolve
2025-05-24,36386.82011,957.6290216,775.6795075,0,32450.36921,1200,1200,26346.98569,0,26346.98569,1200,1808.669247,53,10.17679031,kernel,55510.8725,28028.57344,27093.17436,64,28417.68848,26997.77793,9887.543423,1200,10785.50595,597.225868,highs+presolve
2025-05-25,61396.02003,1329.542998,1076.929829,0,12598.39668,1200,1200,47174.03174,0,47174.03174,1200,2054.901537,54,21.02727119,kernel,93948.39911,46595.22201,46579.79124,34,47368.60227,46579.37602,6250.789324,1354.381765,6521.149019,76.14256404,highs+presolve
2025-05-26,61157.20076,1930.399018,1563.623205,0,6210.592,1200,1200,46956.99877,0,46956.99877,1200,1924.891045,55,18.04407024,kernel,93481.67289,46359.41814,46342.74617,36,47138.92102,46342.57765,6328.138181,1290.422304,6708.923882,72.24809396,highs+presolve
2025-05-27,61431.36721,1498.224226,1213.561623,0.6934,11757.03071,1200,1200,47198.35713,1.4727816,47199.82991,1200,2116.109075,56,23.74879678,kernel,93975.66727,46595.0544,46578.53681,35,47397.12479,46577.82292,6303.44823,1299.24932,6568.802571,76.1747087,highs+presolve
2025-05-28,61234.80482,1654.049783,1339.780324,0,8646.711264,1200,1200,47036.96952,0,47036.96952,1200,1877.9255,57,23.70582407,kernel,93667.72964,46440.74144,46423.02823,35,47244.69569,46422.54373,6349.667485,1221.160553,6670.575803,78.61646905,highs+presolve
2025-05-29,61422.84243,2362.427414,1913.566205,0,6863.857725,1200,1200,47159.12807,0,47159.12807,1200,2075.07549,58,28.10344594,kernel,93858.65023,46528.88665,46511.58497,36,47347.05956,46510.58979,6325.808734,1232.412897,6552.476873,72.05910277,highs+presolve
2025-05-30,36099.99808,909.2718775,736.5102208,0,29331.00316,1200,1200,26039.87208,0,26039.87208,1200,1551.196458,59,10.87039165,kernel,53797.50558,27121.92948,26397.34943,64,27400.14645,26337.84557,9923.268143,1200,10787.44019,392.3442916,highs+presolve
2025-05-31,35877.32891,1219.975273,988.1799712,0,27256.35206,1200,1200,25905.23282,0,25905.23282,1200,1759.99922,60,12.25291176,kernel,53125.31899,26747.03193,26127.69217,65,26997.61708,26084.40173,9960.291725,1200,10782.18943,321.3618093,highs+presolve
2025-06-01,62017.6747,2227.594896,1804.351866,9646.874747,16.48011753,1200,1200,47784.7361,36146.19955,83930.93565,1200,3065.636515,31,15.74234225,kernel,95164.82297,47153.75862,47153.75862,20,48011.06183,47153.75834,3466.132341,3466.132341,3466.132341,93.17440687,highs+presolve
