date,pool_size,converged,converged_round,max_adjacent_difference_yuan,mean_adjacent_difference_yuan,min_adjacent_difference_yuan,max_slope_positive_violation,max_slope_monotone_violation_interior,boundary_slope_jump,canonical_tangent_count,effective_tangent_count,value_at_s_min_yuan,value_at_s_max_yuan,round,n_points,grid_step,new_effective_tangents,envelope_increase_yuan,max_envelope_deficit_yuan
2025-02-17,40,True,4,1133.024377,613.9776688,79.39150752,4.898885944e-07,0,0.04868844643,5,5,63614.71907,61158.80839,0,5,2400,-1,-1,0
2025-02-17,40,True,4,568.0426042,306.9888344,26.53996852,4.898885944e-07,0,0.02823547974,9,9,63614.71907,61158.80839,1,9,1200,4,43.33709849,0
2025-02-17,40,True,4,284.6006465,153.4944172,12.17010325,4.898885944e-07,0,0.02131389932,17,17,63614.71907,61158.80839,2,17,600,8,47.34393234,0
2025-02-17,40,True,4,142.3003306,76.7472086,5.978308714,4.898885944e-07,0,0.02012402685,28,28,63614.71907,61158.80839,3,33,300,11,4.802897747,7.275957614e-12
2025-02-17,40,True,4,71.15016538,38.3736043,2.970717723,4.898885944e-07,0,0.01991137008,51,51,63614.71907,61158.80839,4,65,150,23,6.945080263,2.910383046e-11
2025-02-18,41,True,4,1135.492651,659.3391453,63.02223124,5.28518347e-07,0,0.03156764627,5,5,62985.01466,60347.65808,0,5,2400,-1,-1,0
2025-02-18,41,True,4,569.2491735,329.6695726,27.95512638,5.28518347e-07,0,0.02794418834,9,9,62985.01466,60347.65808,1,9,1200,4,91.94105446,0
2025-02-18,41,True,4,284.6976709,164.8347863,11.66280776,5.28518347e-07,0,0.02636866723,16,16,62985.01466,60347.65808,2,17,600,7,36.78750615,7.275957614e-12
2025-02-18,41,True,4,142.366998,82.41739316,4.751552034,5.28518347e-07,0,0.01682560592,28,28,62985.01466,60347.65808,3,33,300,12,5.853653463,7.275957614e-12
2025-02-18,41,True,4,71.18349904,41.20869658,2.339900356,5.28518347e-07,0,0.01601464506,49,49,62985.01466,60347.65808,4,65,150,21,1.181206699,2.182787284e-11
2025-02-19,42,True,4,1129.054411,648.4134634,59.86332851,5.810502761e-07,0,0.05659590121,5,5,62464.41597,59870.76212,0,5,2400,-1,-1,0
2025-02-19,42,True,4,567.5193219,324.2067317,23.0387155,5.810502761e-07,0,0.01997015348,9,9,62464.41597,59870.76212,1,9,1200,4,66.28548443,0
2025-02-19,42,True,4,284.318918,162.1033658,11.25392637,5.810502761e-07,0,0.01920836848,17,17,62464.41597,59870.76212,2,17,600,8,18.9404169,0
