初始储电量S_1(kWh),扫描层级,最优购电费用J(s)(元),相对全局最优额外费用E(s)(元),是否达到全局最优费用,求解状态,求解器状态码,求解器信息,迭代次数,实际初始储电量(kWh),实际日末储电量(kWh),全天购电量(kWh),全天充电量(kWh),全天放电量(kWh),逐时段能量平衡最大误差(kWh),储电递推最大误差(kWh),日循环误差(kWh),最大越界量(kWh),原始与对偶目标差(元),同时充放电时段数
9075,局部细扫,35119.55692262295,0.9583333333357587,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),377,9075.0,9075.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,2.9103830456733704e-11,0
9100,局部细扫,35119.620811511835,1.0222222222218988,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),378,9100.0,9100.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,2.1827872842550278e-11,0
9125,局部细扫,35119.68470040072,1.086111111108039,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),377,9125.0,9125.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,2.9103830456733704e-11,0
9150,局部细扫,35119.748589289615,1.1500000000014552,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),377,9150.0,9150.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,2.9103830456733704e-11,0
9175,局部细扫,35119.8124781785,1.2138888888875954,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),377,9175.0,9175.0,59482.69899835391,20740.66613168724,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,2.1827872842550278e-11,0
9200,粗扫与细扫重合,35119.876367067394,1.2777777777810115,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),377,9200.0,9200.0,59482.69899835391,20740.66613168724,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,2.9103830456733704e-11,0
9225,局部细扫,35119.94025595628,1.3416666666671517,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),377,9225.0,9225.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,2.1827872842550278e-11,0
9250,局部细扫,35120.004144845174,1.4055555555605679,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),377,9250.0,9250.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,2.1827872842550278e-11,0
9275,局部细扫,35120.06803373406,1.469444444446708,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),377,9275.0,9275.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,2.9103830456733704e-11,0
9300,局部细扫,35120.13192262295,1.5333333333401242,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),377,9300.0,9300.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,2.1827872842550278e-11,0
9325,局部细扫,35120.20414484517,1.6055555555576575,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),377,9325.0,9325.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,2.1827872842550278e-11,0
9350,局部细扫,35120.276367067396,1.6777777777824667,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),377,9350.0,9350.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,2.1827872842550278e-11,0
9375,局部细扫,35120.34858928962,1.750000000007276,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),377,9375.0,9375.0,59482.6989983539,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,2.1827872842550278e-11,0
9400,粗扫与细扫重合,35120.42081151184,1.8222222222248092,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),377,9400.0,9400.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,2.1827872842550278e-11,0
9425,局部细扫,35120.49303373406,1.8944444444496185,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),377,9425.0,9425.0,59482.69899835391,20740.66613168724,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,2.9103830456733704e-11,0
9450,局部细扫,35120.56525595628,1.9666666666671517,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),377,9450.0,9450.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
9475,局部细扫,35120.651367067396,2.0527777777824667,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),377,9475.0,9475.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
9500,局部细扫,35120.73747817851,2.1388888888977817,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),377,9500.0,9500.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
9600,全范围粗扫,35121.08192262296,2.48333333334449,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),377,9600.0,9600.0,59482.6989983539,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
9800,全范围粗扫,35121.770811511844,3.17222222223063,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),379,9800.0,9800.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,1.4551915228366852e-11,0
10000,全范围粗扫,35122.45970040073,3.86111111111677,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),382,10000.0,10000.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
10200,全范围粗扫,35132.015255956285,13.416666666671517,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),379,10200.0,10200.0,59482.69899835391,20740.666131687245,16799.939566666668,1.1368683772161603e-13,8.313350008393172e-13,0.0,0.0,0.0,0
10400,全范围粗扫,35146.57081151184,27.972222222226264,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),385,10400.0,10400.0,59482.69899835391,20740.666131687245,16799.939566666668,1.1368683772161603e-13,8.313350008393172e-13,0.0,0.0,0.0,0
10600,全范围粗扫,35161.126367067394,42.52777777778101,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),387,10600.0,10600.0,59482.69899835391,20740.666131687245,16799.939566666668,1.1368683772161603e-13,8.313350008393172e-13,0.0,0.0,0.0,0
10800,全范围粗扫,35175.68192262295,57.08333333333576,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),375,10800.0,10800.0,59482.69899835391,20740.666131687245,16799.939566666668,1.1368683772161603e-13,8.313350008393172e-13,0.0,0.0,1.4551915228366852e-11,0
