date,history_date,kernel_weight,equal_weight,adopted_weight
2025-01-26,2025-01-08,0.0016236901007243673,0.050000000000000003,0.0016236901007243673
2025-01-26,2025-01-09,0.0017761758811063984,0.050000000000000003,0.0017761758811063984
2025-01-26,2025-01-10,0.0017376484223188206,0.050000000000000003,0.0017376484223188206
2025-01-26,2025-01-11,0.040415602293906373,0.050000000000000003,0.040415602293906373
2025-01-26,2025-01-12,0.12407303857888612,0.050000000000000003,0.12407303857888612
2025-01-26,2025-01-13,0.12424374317456391,0.050000000000000003,0.12424374317456391
2025-01-26,2025-01-14,0.040680588815018806,0.050000000000000003,0.040680588815018806
2025-01-26,2025-01-15,0.0017505475220810586,0.050000000000000003,0.0017505475220810586
2025-01-26,2025-01-16,0.0016806486712747973,0.050000000000000003,0.0016806486712747973
2025-01-26,2025-01-17,0.0017074869741054868,0.050000000000000003,0.0017074869741054868
2025-01-26,2025-01-18,0.041566430677965185,0.050000000000000003,0.041566430677965185
2025-01-26,2025-01-19,0.12441383723309525,0.050000000000000003,0.12441383723309525
2025-01-26,2025-01-20,0.12450606423381566,0.050000000000000003,0.12450606423381566
2025-01-26,2025-01-21,0.042855733276330882,0.050000000000000003,0.042855733276330882
2025-01-26,2025-01-22,0.0021132555089038844,0.050000000000000003,0.0021132555089038844
2025-01-26,2025-01-23,0.0020263108059838733,0.050000000000000003,0.0020263108059838733
2025-01-27,2025-01-04,0.037520667456931493,0.050000000000000003,0.037520667456931493
2025-01-27,2025-01-05,0.12349984127706387,0.050000000000000003,0.12349984127706387
2025-01-27,2025-01-06,0.12349141605657848,0.050000000000000003,0.12349141605657848
2025-01-27,2025-01-07,0.038315622651096073,0.050000000000000003,0.038315622651096073
2025-01-27,2025-01-08,0.0016274282076545446,0.050000000000000003,0.0016274282076545446
2025-01-27,2025-01-09,0.0017802144879925604,0.050000000000000003,0.0017802144879925604
2025-01-27,2025-01-10,0.0017416115584509011,0.050000000000000003,0.0017416115584509011
2025-01-27,2025-01-11,0.040454374443829468,0.050000000000000003,0.040454374443829468
2025-01-27,2025-01-12,0.1240296096466257,0.050000000000000003,0.1240296096466257
2025-01-27,2025-01-13,0.12419828104078363,0.050000000000000003,0.12419828104078363
2025-01-27,2025-01-14,0.040719450473170021,0.050000000000000003,0.040719450473170021
2025-01-27,2025-01-15,0.0017545359595223338,0.050000000000000003,0.0017545359595223338
2025-01-27,2025-01-16,0.0016844995935441872,0.050000000000000003,0.0016844995935441872
2025-01-27,2025-01-17,0.0017113908161260783,0.050000000000000003,0.0017113908161260783
2025-01-27,2025-01-18,0.041605580332361031,0.050000000000000003,0.041605580332361031
2025-01-27,2025-01-19,0.12436569775091928,0.050000000000000003,0.12436569775091928
2025-01-27,2025-01-20,0.12445573220610331,0.050000000000000003,0.12445573220610331
2025-01-27,2025-01-21,0.042895271371321889,0.050000000000000003,0.042895271371321889
2025-01-27,2025-01-22,0.0021179422806764355,0.050000000000000003,0.0021179422806764355
2025-01-27,2025-01-23,0.0020308323892484219,0.050000000000000003,0.0020308323892484219
2025-01-28,2025-01-04,0.089637251153494316,0.050000000000000003,0.089637251153494316
2025-01-28,2025-01-05,0.039298921717021991,0.050000000000000003,0.039298921717021991
2025-01-28,2025-01-06,0.039325989223692764,0.050000000000000003,0.039325989223692764
2025-01-28,2025-01-07,0.089788080359932937,0.050000000000000003,0.089788080359932937
2025-01-28,2025-01-08,0.028179317171008283,0.050000000000000003,0.028179317171008283
2025-01-28,2025-01-09,0.029514490908520392,0.050000000000000003,0.029514490908520392
2025-01-28,2025-01-10,0.02918378780648322,0.050000000000000003,0.02918378780648322
2025-01-28,2025-01-11,0.090106720998237813,0.050000000000000003,0.090106720998237813
2025-01-28,2025-01-12,0.037304960997663839,0.050000000000000003,0.037304960997663839
2025-01-28,2025-01-13,0.036458719832183531,0.050000000000000003,0.036458719832183531
2025-01-28,2025-01-14,0.090137730344860945,0.050000000000000003,0.090137730344860945
2025-01-28,2025-01-15,0.029294991230219582,0.050000000000000003,0.029294991230219582
2025-01-28,2025-01-16,0.028686415756278397,0.050000000000000003,0.028686415756278397
2025-01-28,2025-01-17,0.028921831657157279,0.050000000000000003,0.028921831657157279
2025-01-28,2025-01-18,0.09022837637774106,0.050000000000000003,0.09022837637774106
2025-01-28,2025-01-19,0.035352317237407165,0.050000000000000003,0.035352317237407165
2025-01-28,2025-01-20,0.034452414642233808,0.050000000000000003,0.034452414642233808
2025-01-28,2025-01-21,0.090325567377991994,0.050000000000000003,0.090325567377991994
2025-01-28,2025-01-22,0.032238922690747109,0.050000000000000003,0.032238922690747109
2025-01-28,2025-01-23,0.031563192517123584,0.050000000000000003,0.031563192517123584
2025-01-29,2025-01-04,0.040532000594192603,0.050000000000000003,0.040532000594192603
2025-01-29,2025-01-05,0.0023085662294224192,0.050000000000000003,0.0023085662294224192
2025-01-29,2025-01-06,0.0023119268077118815,0.050000000000000003,0.0023119268077118815
2025-01-29,2025-01-07,0.039815235251451322,0.050000000000000003,0.039815235251451322
2025-01-29,2025-01-08,0.094646655707131544,0.050000000000000003,0.094646655707131544
2025-01-29,2025-01-09,0.09486603992514131,0.050000000000000003,0.09486603992514131
2025-01-29,2025-01-10,0.094820413481073784,0.050000000000000003,0.094820413481073784
2025-01-29,2025-01-11,0.037954524544788815,0.050000000000000003,0.037954524544788815
2025-01-29,2025-01-12,0.0020699132648695287,0.050000000000000003,0.0020699132648695287
2025-01-29,2025-01-13,0.0019737895695609228,0.050000000000000003,0.0019737895695609228
