question,configuration,month,days,mean_daily_normal_plus_adjust_yuan,mean_daily_emergency_kwh,total_emergency_kwh,mean_soc_2400_kwh
4-2,C,9,30,36720.615223433335,2287.2555400666665,68617.666202,5481.086270233333
4-2,C,10,31,36092.05778032258,2160.926860451613,66988.732674,6222.470405387097
4-2,C,11,30,43069.53822963334,2628.3965906333333,78851.897719,5675.4972225
4-2,C,12,31,59594.246034903226,2027.7296581935482,62859.61940399999,6784.54884151613
4-3,C,2,28,47403.33885771428,791.5399525714284,22163.118671999997,5763.93760857143
4-3,C,3,31,38237.76911583872,806.7099116774193,25008.007262,6784.553956000001
4-3,C,4,30,33486.5997688,490.1060249666667,14703.180749000001,6359.470900066666
4-3,C,5,31,33299.016249709675,485.7073778709677,15056.928714,5457.592730741936
4-3,C,6,30,48278.802564800004,554.2815894666668,16628.447684000002,5087.288666699998
4-3,C,7,31,56200.57687393548,953.3784431612904,29554.731738000002,4256.359734838709
4-3,C,8,31,48262.99189599999,621.9984941935485,19281.953320000004,4591.203046483871
4-3,C,9,30,39284.8828293,1356.7710266666663,40703.13079999999,5350.694573033333
4-3,C,10,31,37642.517353064526,1177.646266967742,36507.034276,6035.02990516129
4-3,C,11,30,47310.37655563333,737.2914003999999,22118.742012,5735.566489033332
4-3,C,12,31,62058.119975225796,537.8735918709677,16674.081348,6792.619350290322
