question,configuration,month,t,interval_start,mean_GF_minus_G0_kwh
3,B,5,4,00:30,0.0
3,B,5,5,00:40,0.0
3,B,5,6,00:50,0.0
3,B,5,7,01:00,0.0
3,B,5,8,01:10,0.0
3,B,5,9,01:20,0.0
3,B,5,10,01:30,0.0
3,B,5,11,01:40,0.0
3,B,5,12,01:50,0.0
3,B,5,13,02:00,0.0
3,B,5,14,02:10,0.0
3,B,5,15,02:20,0.0
3,B,5,16,02:30,0.0
3,B,5,17,02:40,0.0
3,B,5,18,02:50,0.0
3,B,5,19,03:00,0.0
3,B,5,20,03:10,0.0
3,B,5,21,03:20,0.0
3,B,5,22,03:30,0.0
3,B,5,23,03:40,0.0
3,B,5,24,03:50,0.0
3,B,5,25,04:00,0.0
3,B,5,26,04:10,0.0
3,B,5,27,04:20,0.0
3,B,5,28,04:30,0.0
3,B,5,29,04:40,0.0
3,B,5,30,04:50,0.0
3,B,5,31,05:00,0.0
3,B,5,32,05:10,0.0
3,B,5,33,05:20,0.0
3,B,5,34,05:30,0.0
3,B,5,35,05:40,0.0
3,B,5,36,05:50,0.0
3,B,5,37,06:00,19.238263290322582
3,B,5,38,06:10,149.3455451935484
3,B,5,39,06:20,119.10440661290325
3,B,5,40,06:30,207.70944303225806
3,B,5,41,06:40,299.6940165806451
3,B,5,42,06:50,305.80084516129034
3,B,5,43,07:00,325.9690001612904
3,B,5,44,07:10,291.3063971935484
3,B,5,45,07:20,285.32876361290323
3,B,5,46,07:30,430.64354041935485
3,B,5,47,07:40,67.7527804516129
3,B,5,48,07:50,0.0
3,B,5,49,08:00,0.0
3,B,5,50,08:10,0.0
3,B,5,51,08:20,0.0
3,B,5,52,08:30,0.0
3,B,5,53,08:40,0.0
3,B,5,54,08:50,0.0
3,B,5,55,09:00,0.0
3,B,5,56,09:10,0.0
3,B,5,57,09:20,0.0
3,B,5,58,09:30,0.0
3,B,5,59,09:40,0.0
3,B,5,60,09:50,0.0
3,B,5,61,10:00,0.0
3,B,5,62,10:10,0.0
3,B,5,63,10:20,0.0
3,B,5,64,10:30,0.0
3,B,5,65,10:40,0.0
3,B,5,66,10:50,0.0
3,B,5,67,11:00,-54.09838222580645
3,B,5,68,11:10,0.0
3,B,5,69,11:20,0.0
3,B,5,70,11:30,-6.5704777741935505
3,B,5,71,11:40,-73.86069535483873
3,B,5,72,11:50,-54.744504677419364
3,B,5,73,12:00,6.604929354838712
3,B,5,74,12:10,-11.89867261290323
3,B,5,75,12:20,2.9963540645161273
3,B,5,76,12:30,56.013560387096774
3,B,5,77,12:40,30.713192774193548
3,B,5,78,12:50,0.0
3,B,5,79,13:00,0.0
3,B,5,80,13:10,0.0
3,B,5,81,13:20,0.0
3,B,5,82,13:30,0.0
3,B,5,83,13:40,0.0
3,B,5,84,13:50,0.0
3,B,5,85,14:00,0.0
3,B,5,86,14:10,0.0
3,B,5,87,14:20,0.0
3,B,5,88,14:30,0.0
3,B,5,89,14:40,0.0
3,B,5,90,14:50,41.41122183870968
3,B,5,91,15:00,57.00217561290321
3,B,5,92,15:10,55.85670667741935
3,B,5,93,15:20,53.32332232258063
3,B,5,94,15:30,51.038747096774195
3,B,5,95,15:40,49.73164764516129
3,B,5,96,15:50,43.17759209677419
3,B,5,97,16:00,41.801943709677424
3,B,5,98,16:10,35.75311622580646
3,B,5,99,16:20,25.075897129032256
3,B,5,100,16:30,29.613083000000003
3,B,5,101,16:40,26.018661483870964
3,B,5,102,16:50,22.128370290322575
3,B,5,103,17:00,20.272771870967745
3,B,5,104,17:10,21.117487387096773
3,B,5,105,17:20,21.35309829032257
3,B,5,106,17:30,17.189533225806453
3,B,5,107,17:40,-5.192530580645162
3,B,5,108,17:50,2.39623477419355
3,B,5,109,18:00,-42.13816467741937
3,B,5,110,18:10,-21.948299096774196
3,B,5,111,18:20,-20.65072683870968
3,B,5,112,18:30,-19.203222677419358
3,B,5,113,18:40,-31.931840838709686
3,B,5,114,18:50,-3.221049322580645
3,B,5,115,19:00,-4.596754193548388
3,B,5,116,19:10,-14.345041677419355
3,B,5,117,19:20,-3.6342712903225807
3,B,5,118,19:30,-2.817169548387097
3,B,5,119,19:40,-5.517208483870967
3,B,5,120,19:50,-7.677312806451614
3,B,5,121,20:00,-0.4407615161290334
3,B,5,122,20:10,-28.678435354838715
3,B,5,123,20:20,-4.963465419354839
3,B,5,124,20:30,-3.0124132258064513
3,B,5,125,20:40,-23.196134645161283
3,B,5,126,20:50,-8.103611387096771
3,B,5,127,21:00,-7.211598290322581
3,B,5,128,21:10,-8.153743580645157
3,B,5,129,21:20,-8.886886032258065
3,B,5,130,21:30,-14.971324483870971
3,B,5,131,21:40,-12.78114364516129
3,B,5,132,21:50,-74.74249406451612
3,B,5,133,22:00,-85.93396254838711
3,B,5,134,22:10,-10.481432032258057
3,B,5,135,22:20,-89.33713438709677
3,B,5,136,22:30,-108.82613138709678
3,B,5,137,22:40,-233.05637406451618
3,B,5,138,22:50,-132.06255190322582
3,B,5,139,23:00,-155.25614770967744
3,B,5,140,23:10,-183.78495574193545
3,B,5,141,23:20,-118.85186677419352
3,B,5,142,23:30,-119.07108177419356
3,B,5,143,23:40,-11.383549709677423
3,B,5,144,23:50,-5.900539354838713
3,B,6,1,00:00,0.0
3,B,6,2,00:10,0.0
3,B,6,3,00:20,0.0
3,B,6,4,00:30,0.0
3,B,6,5,00:40,0.0
3,B,6,6,00:50,0.0
3,B,6,7,01:00,0.0
3,B,6,8,01:10,0.0
3,B,6,9,01:20,0.0
3,B,6,10,01:30,0.0
3,B,6,11,01:40,0.0
3,B,6,12,01:50,0.0
3,B,6,13,02:00,0.0
3,B,6,14,02:10,0.0
3,B,6,15,02:20,0.0
3,B,6,16,02:30,0.0
3,B,6,17,02:40,0.0
3,B,6,18,02:50,0.0
3,B,6,19,03:00,0.0
3,B,6,20,03:10,0.0
3,B,6,21,03:20,0.0
3,B,6,22,03:30,0.0
3,B,6,23,03:40,0.0
3,B,6,24,03:50,0.0
3,B,6,25,04:00,0.0
3,B,6,26,04:10,0.0
3,B,6,27,04:20,0.0
3,B,6,28,04:30,0.0
3,B,6,29,04:40,0.0
3,B,6,30,04:50,0.0
3,B,6,31,05:00,0.0
3,B,6,32,05:10,0.0
3,B,6,33,05:20,0.0
3,B,6,34,05:30,0.0
3,B,6,35,05:40,0.0
3,B,6,36,05:50,0.0
3,B,6,37,06:00,5.599112933333333
3,B,6,38,06:10,65.0021485
3,B,6,39,06:20,7.001301433333333
3,B,6,40,06:30,125.85744006666667
3,B,6,41,06:40,139.8393043
3,B,6,42,06:50,136.91752653333336
3,B,6,43,07:00,115.95442306666668
3,B,6,44,07:10,112.85359833333332
3,B,6,45,07:20,104.87466883333333
3,B,6,46,07:30,254.97082056666667
3,B,6,47,07:40,103.46497606666665
3,B,6,48,07:50,0.0
3,B,6,49,08:00,0.0
3,B,6,50,08:10,0.0
3,B,6,51,08:20,0.0
3,B,6,52,08:30,0.0
3,B,6,53,08:40,0.0
3,B,6,54,08:50,0.0
3,B,6,55,09:00,0.0
3,B,6,56,09:10,0.0
3,B,6,57,09:20,0.0
3,B,6,58,09:30,0.0
3,B,6,59,09:40,0.0
3,B,6,60,09:50,0.0
3,B,6,61,10:00,0.0
3,B,6,62,10:10,0.0
3,B,6,63,10:20,0.0
3,B,6,64,10:30,0.0
3,B,6,65,10:40,-4.998667433333334
3,B,6,66,10:50,-26.361578899999998
3,B,6,67,11:00,-47.114536266666654
3,B,6,68,11:10,-34.84962279999999
3,B,6,69,11:20,-23.607805866666673
3,B,6,70,11:30,-32.858620733333346
3,B,6,71,11:40,-37.716555533333334
3,B,6,72,11:50,-32.7390416
3,B,6,73,12:00,-1.5133220999999935
3,B,6,74,12:10,-34.14021333333333
3,B,6,75,12:20,-2.1391680000000064
3,B,6,76,12:30,-25.718988233333338
3,B,6,77,12:40,69.87285866666666
3,B,6,78,12:50,-23.075547566666664
3,B,6,79,13:00,-21.234567466666665
3,B,6,80,13:10,-18.558242833333335
3,B,6,81,13:20,-38.69491586666667
3,B,6,82,13:30,-31.454776333333328
3,B,6,83,13:40,-15.983311033333337
3,B,6,84,13:50,0.0
3,B,6,85,14:00,0.0
3,B,6,86,14:10,0.0
3,B,6,87,14:20,0.0
3,B,6,88,14:30,0.0
3,B,6,89,14:40,-1.5654620333333333
3,B,6,90,14:50,98.73862179999999
3,B,6,91,15:00,97.88911353333333
3,B,6,92,15:10,26.531694266666666
3,B,6,93,15:20,14.133597433333337
3,B,6,94,15:30,-24.506906266666665
3,B,6,95,15:40,-4.768812399999998
3,B,6,96,15:50,-1.603178100000006
3,B,6,97,16:00,-2.4137299999999984
3,B,6,98,16:10,4.356445400000002
3,B,6,99,16:20,1.0514300999999904
3,B,6,100,16:30,-8.419239799999993
3,B,6,101,16:40,-20.656346533333327
3,B,6,102,16:50,-28.05330476666668
3,B,6,103,17:00,-22.794743000000015
3,B,6,104,17:10,-18.223609766666673
3,B,6,105,17:20,-13.060957900000004
3,B,6,106,17:30,-14.892663900000004
3,B,6,107,17:40,-8.31606746666667
3,B,6,108,17:50,-3.431939966666664
3,B,6,109,18:00,-72.47084360000001
3,B,6,110,18:10,-39.93696323333333
3,B,6,111,18:20,-42.653364066666676
3,B,6,112,18:30,-57.8124771
3,B,6,113,18:40,-46.13967083333333
3,B,6,114,18:50,-6.1142377
3,B,6,115,19:00,-3.902252733333333
3,B,6,116,19:10,1.7531086999999994
3,B,6,117,19:20,-2.7867837333333325
3,B,6,118,19:30,-3.573570600000001
3,B,6,119,19:40,-1.1660994666666664
3,B,6,120,19:50,-1.2823522666666662
3,B,6,121,20:00,-5.8978844666666665
3,B,6,122,20:10,-32.180430099999995
3,B,6,123,20:20,-2.7264240000000006
3,B,6,124,20:30,-12.4764532
3,B,6,125,20:40,-8.196353599999993
3,B,6,126,20:50,-10.296524433333332
3,B,6,127,21:00,-14.550820033333336
3,B,6,128,21:10,-12.235943900000002
3,B,6,129,21:20,-10.732919866666657
3,B,6,130,21:30,-14.61436079999999
3,B,6,131,21:40,-22.033719466666675
3,B,6,132,21:50,-81.73351466666666
3,B,6,133,22:00,-23.805128766666673
3,B,6,134,22:10,-14.24734353333333
3,B,6,135,22:20,-81.75929716666666
3,B,6,136,22:30,-76.2090907
3,B,6,137,22:40,-72.96098053333334
3,B,6,138,22:50,-104.96972346666665
3,B,6,139,23:00,-44.719324366666676
3,B,6,140,23:10,-89.33891296666668
3,B,6,141,23:20,-85.30556743333334
3,B,6,142,23:30,-127.00529293333332
3,B,6,143,23:40,-13.799715133333333
3,B,6,144,23:50,-14.306143833333335
3,B,7,1,00:00,0.0
3,B,7,2,00:10,0.0
3,B,7,3,00:20,0.0
3,B,7,4,00:30,0.0
3,B,7,5,00:40,0.0
3,B,7,6,00:50,0.0
3,B,7,7,01:00,0.0
3,B,7,8,01:10,0.0
3,B,7,9,01:20,0.0
3,B,7,10,01:30,0.0
3,B,7,11,01:40,0.0
3,B,7,12,01:50,0.0
3,B,7,13,02:00,0.0
3,B,7,14,02:10,0.0
3,B,7,15,02:20,0.0
3,B,7,16,02:30,0.0
3,B,7,17,02:40,0.0
3,B,7,18,02:50,0.0
3,B,7,19,03:00,0.0
3,B,7,20,03:10,0.0
3,B,7,21,03:20,0.0
3,B,7,22,03:30,0.0
3,B,7,23,03:40,0.0
3,B,7,24,03:50,0.0
3,B,7,25,04:00,0.0
3,B,7,26,04:10,0.0
3,B,7,27,04:20,0.0
3,B,7,28,04:30,0.0
3,B,7,29,04:40,0.0
3,B,7,30,04:50,0.0
3,B,7,31,05:00,0.0
3,B,7,32,05:10,0.0
