date,question,configuration,normal_plus_adjust_yuan,emergency_kwh,charge_kwh,discharge_kwh,soc_0000_kwh,soc_2400_kwh,absolute_adjustment_kwh
2025-09-18,4-2,B,39705.198251,1905.5455720000002,18163.590116,15416.529307,5470.516077,4688.270172,0.0
2025-09-19,4-2,B,15806.747989,309.937917,20738.559897,15487.022871000001,4688.270172,6145.170889,0.0
2025-09-20,4-2,B,15107.215671,263.131517,21111.318396000002,16793.922334,6145.170889,6485.443739,0.0
2025-09-21,4-2,B,42277.200574,0.0,19784.986896000002,16862.739150999998,6485.443739,5555.555112,0.0
2025-09-22,4-2,B,47165.53619,0.0,18517.327271000002,17048.573626,5555.555112,3278.290071,0.0
2025-09-23,4-2,B,48360.577236,0.0,23182.628036,17902.6089,3278.290071,4250.867635,0.0
2025-09-24,4-2,B,41187.661957,2597.047422,19341.399039,15998.745798000002,4250.867635,3881.742548,0.0
2025-09-25,4-2,B,45739.685571,16.5147,22768.561936,17426.469344,3881.742548,5010.704576,0.0
2025-09-26,4-2,B,16055.178798,0.0,19410.255397,14406.314656999999,5010.704576,6472.918147,0.0
2025-09-27,4-2,B,15581.85186,1779.4394450000002,18334.663496,15354.349502,6472.918147,5913.726957,0.0
2025-09-28,4-2,B,45797.136519,0.0,20875.697588000003,17183.833001000003,5913.726957,5608.707007,0.0
2025-09-29,4-2,B,48439.650731,20.394633,22804.25476,18338.422296,5608.707007,5756.511518,0.0
2025-09-30,4-2,B,47451.965144,530.562024,19388.892123,16537.706756,5756.511518,4831.284699,0.0
2025-10-01,4-2,B,41392.087447,0.0,21596.478011000003,15424.547622000002,4831.284699,7129.728663,0.0
2025-10-02,4-2,B,44594.864581,0.0,21675.997317,16253.639152999998,7129.728663,8578.527189,0.0
2025-10-03,4-2,B,12775.845311,438.086934,21515.432292999998,17189.604327999998,8578.527189,8842.855888,0.0
2025-10-04,4-2,B,14568.564299,0.0,19872.802452,16109.874098,8842.855888,8828.517985,0.0
2025-10-05,4-2,B,43372.81763,0.0,18601.918634,16245.186497000002,8828.517985,7520.037537,0.0
2025-10-06,4-2,B,39567.342763,0.0,16475.565242999997,15526.247356,7520.037537,5096.660305,0.0
2025-10-07,4-2,B,42740.686619,0.0,23886.118248000002,17055.289203,5096.660305,7643.845391,0.0
2025-10-08,4-2,B,36628.101927,667.271589,19539.502948,18009.034014,7643.845391,5219.360251,0.0
2025-10-09,4-2,B,45749.611551,238.018166,25204.223694,19825.687401,5219.360251,5874.620019,0.0
2025-10-10,4-2,B,13605.620015,133.055132,22793.189054,16777.02277,5874.620019,7747.353756,0.0
2025-10-11,4-2,B,12531.277182,182.169646,19829.225377,17275.680527,7747.353756,6398.456011,0.0
2025-10-12,4-2,B,39289.787594,285.580041,18239.117322000002,16686.256686,6398.456011,4273.376393,0.0
2025-10-13,4-2,B,43204.475201,0.0,23322.050705,17433.805295,4273.376393,5892.327254,0.0
2025-10-14,4-2,B,44713.207323,455.763007,22229.50789,18709.983337,5892.327254,5110.013983,0.0
2025-10-15,4-2,B,45676.039505,19.874197,22462.97056,18170.619283999997,5110.013983,5137.110503,0.0
2025-10-16,4-2,B,45118.274264,386.01918800000004,22471.527792,17905.057428,5137.110503,5466.977264,0.0
2025-10-17,4-2,B,13347.501425,791.131543,21746.724325,15804.063298,5466.977264,7478.958825,0.0
2025-10-18,4-2,B,14321.128781,333.539769,21211.821745,17044.997274999998,7478.958825,7630.712535,0.0
2025-10-19,4-2,B,45287.90002,1004.3235890000001,19740.23487,17991.673922,7630.712535,5406.175115,0.0
2025-10-20,4-2,B,50207.722852,0.0,23250.943156999998,18310.961843,5406.175115,5986.510798,0.0
2025-10-21,4-2,B,48678.860957,0.0,22759.230967000003,18314.234777,5986.510798,6120.668915,0.0
2025-10-22,4-2,B,47316.820977,1328.483188,23089.712821,18644.677545,6120.668915,6185.102071,0.0
2025-10-23,4-2,B,53154.735585,0.0,21201.239956,18104.797854,6185.102071,5149.775971,0.0
2025-10-24,4-2,B,14475.224307,771.487202,22458.725187,15620.497791,5149.775971,8006.519981,0.0
2025-10-25,4-2,B,13423.052216,1034.5900139999999,21654.484915999998,17718.60638,8006.519981,7808.215983,0.0
2025-10-26,4-2,B,48898.545728,0.0,19882.327203,17715.910856,7808.215983,6017.965067,0.0
2025-10-27,4-2,B,44180.054422,187.524271,19210.878090000002,16420.609019,6017.965067,5062.634216,0.0
2025-10-28,4-2,B,46110.610626,589.262658,19048.766105,15536.338012,5062.634216,4943.925919,0.0
2025-10-29,4-2,B,51007.676424,809.132651,21996.394666,17059.355432,4943.925919,5785.841749,0.0
2025-10-30,4-2,B,44929.561293,959.80639,21290.928238,17547.445115000002,5785.841749,5450.515926,0.0
2025-10-31,4-2,B,15817.132866,847.947624,21341.465567,15092.823751999998,5450.515926,7888.030768,0.0
2025-11-01,4-2,B,14306.914875,860.80164,19911.059864,15912.494882,7888.030768,8127.434775,0.0
2025-11-02,4-2,B,47709.811853,384.527595,17842.354106,17781.294472999998,8127.434775,4428.559609,0.0
2025-11-03,4-2,B,54047.910064,0.0,21816.883374,16323.553070000002,4428.559609,5926.473456,0.0
2025-11-04,4-2,B,47754.306495,1.982767,20819.87385,17821.178475,5926.473456,4863.050503,0.0
2025-11-05,4-2,B,55244.020265,0.0,22394.757944,17389.295847,4863.050503,5696.892824,0.0
2025-11-06,4-2,B,52192.62172,0.0,21864.754090000002,17699.530469,5696.892824,5709.02654,0.0
2025-11-07,4-2,B,15418.126164,260.026293,24561.198523,16823.334534999998,5709.02654,9121.511282,0.0
2025-11-08,4-2,B,14329.583637,0.0,21233.895323999997,17614.239111,9121.511282,8660.640283,0.0
2025-11-09,4-2,B,53079.970313,0.0,18989.902281,17575.909889000002,8660.640283,6222.76357,0.0
2025-11-10,4-2,B,53745.378063,128.198266,20025.091007,18012.152927000003,6222.76357,4231.842223,0.0
2025-11-11,4-2,B,56556.406304,0.0,22110.95041,17390.931260999998,4231.842223,4808.440635,0.0
2025-11-12,4-2,B,53123.708066,0.0,21255.048884999997,17004.064161,4808.440635,5044.580006,0.0
2025-11-13,4-2,B,51297.68209,1683.896475,18467.939078,15858.348349,5044.580006,4045.338123,0.0
2025-11-14,4-2,B,16757.882046,597.4465749999999,23971.484355,15359.054065,4045.338123,8554.058415,0.0
2025-11-15,4-2,B,16198.169958,86.46504300000001,19986.584536,16735.193678999996,8554.058415,7947.324855,0.0
2025-11-16,4-2,B,54454.846005,0.0,19944.543717,18693.114432,7947.324855,5127.287054,0.0
2025-11-17,4-2,B,52254.332796,1536.790774,20042.760322,16083.134569999998,5127.287054,5295.621821,0.0
2025-11-18,4-2,B,55512.682569,0.0,21311.438321,17519.327461,5295.621821,5009.996909,0.0
2025-11-19,4-2,B,54458.079798,2022.8838620000001,20977.105675,16911.005294000002,5009.996909,5099.386134,0.0
2025-11-20,4-2,B,54330.033537,395.723347,20193.571022,16688.885484,5099.386134,4730.39396,0.0
2025-11-21,4-2,B,16941.731598,105.748476,23144.700535999997,14887.483268999998,4730.39396,9018.976365,0.0
2025-11-22,4-2,B,16232.369883,0.0,21219.037567,17728.632792,9018.976365,8417.629294,0.0
2025-11-23,4-2,B,53372.341848,800.930392,16976.445828,17007.30925,8417.629294,4799.420262,0.0
2025-11-24,4-2,B,53993.304339,892.306826,21630.346292000002,17336.449737,4799.420262,5004.009996,0.0
2025-11-25,4-2,B,62663.668981,0.0,23226.128428999997,17632.575244000003,5004.009996,6315.775312,0.0
2025-11-26,4-2,B,58541.031106,0.0,19818.561239000002,17316.329911,6315.775312,4912.113859,0.0
2025-11-27,4-2,B,58560.561336,0.0,22926.312419,17780.791488,4912.113859,5789.360048,0.0
2025-11-28,4-2,B,16982.117564,949.139911,26662.222627000003,17730.262483,5789.360048,10085.068764,0.0
2025-11-29,4-2,B,19920.517492,1391.6656329999998,22600.849729999998,19445.813864,10085.068764,8819.373671,0.0
