date,mode,pool_size,k_eff
2025-08-09,kernel,39,1.018249762
2025-08-10,kernel,40,3.088723578
2025-08-11,kernel,41,3.975086034
2025-08-12,kernel,42,5.168103321
2025-08-13,kernel,43,7.002833475
2025-08-14,kernel,44,7.745761748
2025-08-15,kernel,45,2.848392376
2025-08-16,kernel,46,3.702851896
2025-08-17,kernel,47,9.303999431
2025-08-18,kernel,48,9.882912147
2025-08-19,kernel,49,11.21209365
2025-08-20,kernel,50,12.02984097
2025-08-21,kernel,51,15.6062609
2025-08-22,kernel,52,6.058754386
2025-08-23,kernel,53,7.775695957
2025-08-24,kernel,54,20.9698267
2025-08-25,kernel,55,20.55534548
2025-08-26,kernel,56,27.15988255
2025-08-27,kernel,57,27.64830095
2025-08-28,kernel,58,27.0385807
2025-08-29,kernel,59,13.72646742
2025-08-30,kernel,60,13.61161953
2025-08-31,kernel,61,27.1789219
2025-09-01,kernel,31,13.26358891
2025-09-02,kernel,32,16.63464163
2025-09-03,kernel,33,15.00894684
2025-09-04,kernel,34,11.18652161
2025-09-05,kernel,35,5.168812583
2025-09-06,kernel,36,1.384618075
2025-09-07,kernel,37,4.671403366
2025-09-08,kernel,38,1.896669763
2025-09-09,kernel,39,3.296798138
2025-09-10,kernel,40,4.027508475
2025-09-11,kernel,41,4.234683879
2025-09-12,kernel,42,3.053086742
2025-09-13,kernel,43,3.185676071
2025-09-14,kernel,44,9.55530179
2025-09-15,kernel,45,8.897816554
2025-09-16,kernel,46,9.640999984
2025-09-17,kernel,47,9.504102222
2025-09-18,kernel,48,10.05379159
2025-09-19,kernel,49,4.074504658
2025-09-20,kernel,50,3.859048606
2025-09-21,kernel,51,9.519699731
2025-09-22,kernel,52,10.22200031
2025-09-23,kernel,53,12.32830312
2025-09-24,kernel,54,12.72295984
2025-09-25,kernel,55,11.76265086
2025-09-26,kernel,56,5.771483935
2025-09-27,kernel,57,5.656215938
2025-09-28,kernel,58,10.92340782
2025-09-29,kernel,59,10.18286096
2025-09-30,kernel,60,12.10396785
2025-10-01,kernel,30,7.385504967
2025-10-02,kernel,31,13.16436841
2025-10-03,kernel,32,7.598350734
2025-10-04,kernel,33,8.012389161
2025-10-05,kernel,34,17.00141087
2025-10-06,kernel,35,16.41871783
2025-10-07,kernel,36,16.1080701
2025-10-08,kernel,37,15.91157304
2025-10-09,kernel,38,17.13205585
2025-10-10,kernel,39,7.54299613
2025-10-11,kernel,40,9.131025944
2025-10-12,kernel,41,19.32147307
2025-10-13,kernel,42,19.93360959
2025-10-14,kernel,43,19.67226083
2025-10-15,kernel,44,20.52623229
2025-10-16,kernel,45,20.14222874
2025-10-17,kernel,46,6.017822775
2025-10-18,kernel,47,4.719757225
2025-10-19,kernel,48,15.06008396
2025-10-20,kernel,49,13.27916901
2025-10-21,kernel,50,10.78723411
2025-10-22,kernel,51,8.843739073
2025-10-23,kernel,52,8.330042534
2025-10-24,kernel,53,4.150617257
2025-10-25,kernel,54,3.817029782
2025-10-26,kernel,55,10.4125707
2025-10-27,kernel,56,10.76326594
2025-10-28,kernel,57,12.08696198
2025-10-29,kernel,58,12.83650571
2025-10-30,kernel,59,11.76557133
2025-10-31,kernel,60,3.601968226
2025-11-01,kernel,31,3.382427876
2025-11-02,kernel,32,8.991499271
2025-11-03,kernel,33,8.576149794
2025-11-04,kernel,34,8.663577244
2025-11-05,kernel,35,9.408004787
2025-11-06,kernel,36,10.23633348
2025-11-07,kernel,37,3.760343863
2025-11-08,kernel,38,4.310971096
2025-11-09,kernel,39,10.15077592
2025-11-10,kernel,40,10.87168781
2025-11-11,kernel,41,10.56019445
2025-11-12,kernel,42,10.72995392
2025-11-13,kernel,43,11.57133234
2025-11-14,kernel,44,4.614082667
2025-11-15,kernel,45,5.118797567
2025-11-16,kernel,46,11.34872664
2025-11-17,kernel,47,11.59660584
2025-11-18,kernel,48,12.99250313
2025-11-19,kernel,49,13.40450933
2025-11-20,kernel,50,13.63258365
2025-11-21,kernel,51,5.385212991
2025-11-22,kernel,52,6.183515061
2025-11-23,kernel,53,14.07863419
2025-11-24,kernel,54,15.06652194
2025-11-25,kernel,55,15.94413334
2025-11-26,kernel,56,16.63446848
2025-11-27,kernel,57,17.22758392
2025-11-28,kernel,58,6.684544063
2025-11-29,kernel,59,7.522530704
2025-11-30,kernel,60,16.54396806
2025-12-01,kernel,54,27.88734241
