date,es_equal,es_legacy,es_revised,pool_size,k_eff_legacy,k_eff_revised,improvement_revised_vs_equal_pct,improvement_revised_vs_legacy_pct,improvement_legacy_vs_equal_pct
2025-04-21,836.9074749,839.8886885,705.376756,51,12.51560118,17.13226486,15.71627962,16.01544757,-0.3562178314
2025-04-22,680.6952456,1095.146367,413.4155896,52,13.05330447,16.36583068,39.26568574,62.25019761,-60.88644288
2025-04-23,707.744788,813.4383284,447.5223262,53,17.91557362,17.60500293,36.76783867,44.98386533,-14.93384934
2025-04-24,839.5215033,853.0444157,692.4580124,54,18.82450459,17.554297,17.51753712,18.82509285,-1.61078809
2025-04-25,3115.958153,2770.282095,629.3980372,55,19.80232831,6.347908547,79.80081868,77.28036295,11.09373236
2025-04-26,3301.358476,2452.501604,932.3801564,56,13.97482284,6.177803981,71.75768208,61.98248535,25.7123508
2025-04-27,774.2911411,687.2749545,539.5305044,57,13.48018442,14.40214573,30.31942693,21.49713868,11.23817412
2025-04-28,846.293408,666.2102096,726.3797813,58,14.36498442,14.93850963,14.1692734,-9.031619581,21.27905012
2025-04-29,793.9569183,1042.248863,594.8981511,59,14.96235817,20.31310047,25.07173407,42.92167907,-31.27272266
2025-04-30,822.7934096,867.9889155,631.5461087,60,20.87224716,21.25091002,23.24365979,27.24030256,-5.492934844
2025-05-01,756.4356225,886.2318673,593.7667776,30,13.15326601,9.11098244,21.50465156,33.00096741,-17.15892813
2025-05-02,1857.358664,1865.854916,1259.657765,31,12.71607543,2.436736724,32.18015512,32.48897574,-0.4574373265
2025-05-03,2145.176597,1495.098303,539.4034394,32,9.929588374,5.850454786,74.85505668,63.92187468,30.30418543
2025-05-04,857.294621,704.8746293,627.0816689,33,8.864080417,16.45370121,26.85342314,11.03642508,17.77918442
2025-05-05,812.9973319,502.4879162,490.0116898,34,7.870865039,17.22566471,39.72776163,2.482890833,38.1931654
2025-05-06,767.4973955,1535.23175,527.0898946,35,9.575339688,16.87790201,31.32355919,65.66707962,-100.0308743
2025-05-07,703.2823917,923.5123588,400.3249113,36,12.72387947,17.0964929,43.07764335,56.6519162,-31.31458568
2025-05-08,836.4149309,924.4352278,550.3397621,37,12.76832536,19.11352179,34.20254209,40.46746104,-10.52352052
2025-05-09,2166.85987,2159.260304,406.1871633,38,13.27156165,8.259435047,81.2545717,81.18859673,0.3507179519
2025-05-10,1907.454928,1273.541282,601.7032688,39,9.774524068,8.113207372,68.45517763,52.75353242,33.2334797
2025-05-11,846.2388803,554.0426821,504.5576101,40,8.309923702,20.89273841,40.37645612,8.931635338,34.528808
2025-05-12,889.4901457,639.7881624,727.7747419,41,8.997442573,21.066327,18.18068526,-13.75245506,28.0724845
2025-05-13,684.6153185,1403.1652,382.286957,42,10.37163121,22.01110644,44.16032672,72.75538496,-104.9567343
2025-05-14,681.8659478,833.9203613,393.9160947,43,14.22890285,21.2104235,42.22968664,52.76334372,-22.29975174
2025-05-15,665.4744087,746.9479984,412.2659302,44,15.04244818,20.33762583,38.04931868,44.80660888,-12.24293356
