date,pool_size,oldest_gap_days,month_span,same_weekday_in_pool,lag7_rank,lag7_rank_share,lag7_daily_net_gap_kwh
2025-07-09,38,38,1,True,3,0.07894736842,1153.95865
2025-07-10,39,39,1,True,27,0.6923076923,6906.79555
2025-07-11,40,40,1,True,3,0.075,3637.909683
2025-07-12,41,41,1,True,5,0.1219512195,2294.163367
2025-07-13,42,42,1,True,30,0.7142857143,10526.26115
2025-07-14,43,43,1,True,12,0.2790697674,1601.80355
2025-07-15,44,44,1,True,16,0.3636363636,2822.336433
2025-07-16,45,45,1,True,15,0.3333333333,1924.161633
2025-07-17,46,46,1,True,3,0.0652173913,133.2073167
2025-07-18,47,47,1,True,4,0.08510638298,1244.52905
2025-07-19,48,48,1,True,6,0.125,3901.424283
2025-07-20,49,49,1,True,22,0.4489795918,2822.257817
2025-07-21,50,50,1,True,14,0.28,2182.070133
2025-07-22,51,51,1,True,7,0.137254902,1046.094033
2025-07-23,52,52,1,True,15,0.2884615385,2081.983733
2025-07-24,53,53,1,True,9,0.1698113208,896.0559333
2025-07-25,54,54,1,True,11,0.2037037037,4768.928533
2025-07-26,55,55,1,True,4,0.07272727273,1286.272517
2025-07-27,56,56,1,True,15,0.2678571429,1595.211583
2025-07-28,57,57,1,True,10,0.1754385965,3965.127883
2025-07-29,58,58,1,True,9,0.1551724138,2274.101333
2025-07-30,59,59,1,True,2,0.03389830508,113.2930667
2025-07-31,60,60,1,True,9,0.15,1078.524267
2025-08-01,31,31,0,True,1,0.03225806452,5253.9599
2025-08-02,32,32,1,True,4,0.125,7542.066633
2025-08-03,33,33,1,True,11,0.3333333333,10845.70982
2025-08-04,34,34,1,True,21,0.6176470588,12539.22215
2025-08-05,35,35,1,True,21,0.6,10916.93622
2025-08-06,36,36,1,True,18,0.5,5988.854783
2025-08-07,37,37,1,True,21,0.5675675676,11307.01102
2025-08-08,38,38,1,True,2,0.05263157895,5476.188417
2025-08-09,39,39,1,True,1,0.02564102564,2005.095933
2025-08-10,40,40,1,True,4,0.1,2465.139067
2025-08-11,41,41,1,True,3,0.07317073171,854.40175
2025-08-12,42,42,1,True,5,0.119047619,2608.233917
2025-08-13,43,43,1,True,6,0.1395348837,1993.419817
2025-08-14,44,44,1,True,8,0.1818181818,2538.305733
2025-08-15,45,45,1,True,1,0.02222222222,1384.555633
2025-08-16,46,46,1,True,3,0.0652173913,1992.648633
2025-08-17,47,47,1,True,5,0.1063829787,2139.225433
2025-08-18,48,48,1,True,1,0.02083333333,167.1377167
2025-08-19,49,49,1,True,11,0.2244897959,3442.8836
2025-08-20,50,50,1,True,20,0.4,4529.711617
2025-08-21,51,51,1,True,1,0.01960784314,81.8725
2025-08-22,52,52,1,True,4,0.07692307692,4070.842517
2025-08-23,53,53,1,True,8,0.1509433962,5600.725783
2025-08-24,54,54,1,True,2,0.03703703704,568.1958667
2025-08-25,55,55,1,True,30,0.5454545455,6378.9714
2025-08-26,56,56,1,True,9,0.1607142857,1211.158333
2025-08-27,57,57,1,True,10,0.1754385965,2736.5422
2025-08-28,58,58,1,True,26,0.4482758621,4923.3765
2025-08-29,59,59,1,True,3,0.05084745763,1324.65095
2025-08-30,60,60,1,True,8,0.1333333333,4017.286317
2025-08-31,61,61,1,True,15,0.2459016393,2913.0336
2025-09-01,31,31,0,True,21,0.6774193548,17198.95248
2025-09-02,32,32,1,True,12,0.375,11471.06253
2025-09-03,33,33,1,True,19,0.5757575758,12366.43162
2025-09-04,34,34,1,True,23,0.6764705882,16842.22943
2025-09-05,35,35,1,True,10,0.2857142857,15730.95868
2025-09-06,36,36,1,True,5,0.1388888889,10791.63613
2025-09-07,37,37,1,True,19,0.5135135135,11685.63947
2025-09-08,38,38,1,True,13,0.3421052632,5821.435
2025-09-09,39,39,1,True,3,0.07692307692,954.9215833
2025-09-10,40,40,1,True,17,0.425,5768.2814
2025-09-11,41,41,1,True,3,0.07317073171,429.4797667
2025-09-12,42,42,1,True,3,0.07142857143,4727.394533
2025-09-13,43,43,1,True,1,0.02325581395,286.0177833
2025-09-14,44,44,1,True,12,0.2727272727,5138.341133
2025-09-15,45,45,1,True,8,0.1777777778,4328.5389
2025-09-16,46,46,1,True,23,0.5,6388.935717
2025-09-17,47,47,1,True,4,0.08510638298,1355.88025
2025-09-18,48,48,1,True,18,0.375,5459.965333
2025-09-19,49,49,1,True,6,0.1224489796,4549.696117
2025-09-20,50,50,1,True,13,0.26,7638.33225
2025-09-21,51,51,1,True,5,0.09803921569,1811.837267
2025-09-22,52,52,1,True,23,0.4423076923,5546.98925
