date,es_equal,es_legacy,es_revised,pool_size,k_eff_legacy,k_eff_revised,improvement_revised_vs_equal_pct,improvement_revised_vs_legacy_pct,improvement_legacy_vs_equal_pct
2025-05-03,2145.176597,1495.098303,537.8523171,32,9.929588374,5.949359749,74.92736412,64.02562186,30.30418543
2025-05-04,857.294621,704.8746293,627.1656824,33,8.864080417,16.76637727,26.84362329,11.02450615,17.77918442
2025-05-05,812.9973319,502.4879162,489.4552908,34,7.870865039,17.58755304,39.79619963,2.593619678,38.1931654
2025-05-06,767.4973955,1535.23175,526.9852908,35,9.575339688,17.23446726,31.33718839,65.67389317,-100.0308743
2025-05-07,703.2823917,923.5123588,399.3938167,36,12.72387947,17.52716152,43.21003605,56.75273721,-31.31458568
2025-05-08,836.4149309,924.4352278,550.123018,37,12.76832536,19.49643942,34.22845556,40.49090715,-10.52352052
2025-05-09,2166.85987,2159.260304,397.7814784,38,13.27156165,8.142201567,81.6424918,81.57788213,0.3507179519
2025-05-10,1907.454928,1273.541282,604.0422391,39,9.774524068,8.190637525,68.33255506,52.56987364,33.2334797
2025-05-11,846.2388803,554.0426821,504.4068844,40,8.309923702,21.17078497,40.39426737,8.958840048,34.528808
2025-05-12,889.4901457,639.7881624,727.0145825,41,8.997442573,21.38040604,18.26614539,-13.63364082,28.0724845
2025-05-13,684.6153185,1403.1652,383.2115087,42,10.37163121,22.35129784,44.02527984,72.68949452,-104.9567343
2025-05-14,681.8659478,833.9203613,395.046227,43,14.22890285,21.6688441,42.06394552,52.62782332,-22.29975174
2025-05-15,665.4744087,746.9479984,412.1578387,44,15.04244818,20.91436363,38.06556145,44.82107997,-12.24293356
2025-05-16,2708.515531,2620.79226,703.3253358,45,16.09081442,8.114690565,74.03281141,73.16363657,3.238795194
2025-05-17,2103.432148,1410.320152,699.5568743,46,11.18930142,8.861106529,66.74212311,50.39729998,32.95147871
2025-05-18,847.7782154,534.1947044,551.8794843,47,9.828077014,22.01695505,34.90284673,-3.310549455,36.98886163
2025-05-19,727.55128,705.5230357,631.9297002,48,10.66515805,22.43522321,13.14293334,10.43103226,3.027723949
2025-05-20,865.8582329,1487.209969,586.9852904,49,12.03681915,22.56561774,32.20769081,60.53110841,-71.76137069
2025-05-21,765.1998086,882.4709366,561.6488271,50,16.79165519,22.46929279,26.60102358,36.3549774,-15.32555637
2025-05-22,609.3165665,681.5902641,356.9595465,51,17.79794067,21.64674555,41.41640551,47.62842644,-11.86143649
2025-05-23,2322.649415,2165.534758,421.6463905,52,18.80523346,9.505039674,81.84631793,80.52922545,6.764458563
2025-05-24,2504.444364,1776.046109,554.0214607,53,12.98463774,10.17679031,77.87846803,68.8059078,29.08422585
2025-05-25,673.8042356,505.3940759,454.3697155,54,11.65478836,21.02727119,32.56650945,10.09595538,24.9939301
2025-05-26,894.9514553,602.6079059,629.4491886,55,12.57686167,18.04407024,29.66666685,-4.454186947,32.66585553
2025-05-27,690.1965302,1187.368388,469.8755417,56,13.98713336,23.74879678,31.92148595,60.42714744,-72.0333755
2025-05-28,840.7919361,968.6987565,605.9529606,57,19.94134226,23.70582407,27.93068837,37.44670812,-15.21266021
2025-05-29,763.109849,851.7454817,482.9505274,58,20.98999456,28.10344594,36.71284311,43.29872741,-11.61505553
2025-05-30,2265.310566,2105.411182,485.3964414,59,21.65719361,10.87039165,78.57263156,76.94529005,7.0586076
2025-05-31,2118.072489,1329.9659,468.9835377,60,14.91191371,12.25291176,77.85800344,64.73717576,37.20866936
2025-06-01,2201.992515,1721.44233,1726.697305,31,8.136426466,15.74234225,21.58477866,-0.3052658232,21.82342503
2025-06-02,1830.963352,1165.506037,1387.515195,32,8.468049804,4.882773266,24.21939009,-19.04830612,36.34465506
2025-06-03,1578.386478,2268.13947,781.8278874,33,16.08514497,2.436700095,50.46663803,65.52999065,-43.69987969
2025-06-04,1675.657414,2002.894881,897.8221449,34,13.15545794,1.028496476,46.41970743,55.17377605,-19.52890037
2025-06-05,1704.224028,1086.282706,675.6549989,35,5.45912483,1.228512026,60.35409736,37.8011824,36.259395
2025-06-06,1306.152454,1990.873435,3361.458629,36,5.803809738,1.826765242,-157.3557641,-68.84341164,-52.42274576
2025-06-07,1235.45323,1285.198135,815.8058459,37,14.95274612,1.006129886,33.96707975,36.5229513,-4.026449872
2025-06-08,1309.406544,1106.999361,886.8578456,38,14.87625487,1.601002461,32.27024491,19.88632727,15.45793273
2025-06-09,1631.602907,1111.215038,823.569859,39,10.64906292,1.456713088,49.5238789,25.88564494,31.89427195
2025-06-10,1660.192781,1946.943639,584.7112174,40,12.41120926,2.828209386,64.78052284,69.96773785,-17.27214216
2025-06-11,2062.403563,1564.773643,867.5216282,41,6.974429669,3.936448329,57.93637851,44.5592893,24.12863947
2025-06-12,1677.634807,962.2346406,492.9882474,42,7.962669506,4.513815731,70.61409042,48.7663168,42.64337884
2025-06-13,1297.676111,1921.262561,736.97206,43,9.157236527,2.412363223,43.20832033,61.64126263,-48.05409031
2025-06-14,1484.158929,1394.489564,788.643882,44,12.46851605,2.552994169,46.86257203,43.44569494,6.041763024
2025-06-15,1539.666512,936.0404067,488.9231996,45,10.49724494,6.43855464,68.24486369,47.76687031,39.20499021
2025-06-16,1589.598797,845.758351,407.4960267,46,10.86182872,7.241010064,74.36485059,51.81885864,46.79422554
2025-06-17,1833.441975,2098.621577,614.3298911,47,12.50489174,8.390494756,66.49308243,70.72698109,-14.46348484
2025-06-18,1375.192878,961.6367858,409.6611486,48,10.47788413,8.961668654,70.21064062,57.39959674,30.07258828
2025-06-19,1154.428505,822.6652292,572.5706306,49,11.70319151,10.29057588,50.4022442,30.40053107,28.73831286
2025-06-20,1663.49736,2215.483929,613.0776379,50,12.83601255,4.59040168,63.14525934,72.32759715,-33.18229307
2025-06-21,1840.611583,1707.363385,937.8522682,51,13.30982356,6.289809214,49.04670399,45.07014285,7.239343674
2025-06-22,1246.611265,618.2798485,516.9124192,52,11.67469973,15.81461102,58.53459425,16.39507248,50.40315567
2025-06-23,1147.404074,518.9343109,481.4369765,53,12.4964192,16.58161963,58.04120036,7.225834502,54.7731856
2025-06-24,1825.909432,2053.51919,812.1977008,54,13.91275066,17.97101165,55.51818253,60.44849715,-12.46555571
2025-06-25,1317.200459,1036.903515,541.0531513,55,14.32841952,16.742108,58.92400828,47.82029926,21.27974838
2025-06-26,1069.634181,832.8745353,580.3034933,56,15.44287178,17.28494061,45.74748044,30.32522082,22.13463725
2025-06-27,1840.904231,2313.608412,623.2150889,57,16.43434777,6.979637182,66.14625147,73.06306954,-25.67782576
2025-06-28,1732.434817,1510.011756,580.1911465,58,14.99599249,8.966843678,66.51007352,61.5770444,12.83875498
