stage,feature,date,es_before,es_after,relative_improvement_pct
structural,season,2025-11-13,1240.72068,1210.374963,2.44581374
structural,season,2025-11-14,1623.284013,1639.649765,-1.008187824
structural,season,2025-11-15,1542.348327,1551.793719,-0.6124033332
structural,season,2025-11-16,1445.098256,1415.988864,2.014353838
structural,season,2025-11-17,1227.915015,1196.709719,2.541323774
structural,season,2025-11-18,1422.425402,1387.156285,2.479505554
structural,season,2025-11-19,1352.521643,1313.982698,2.849414269
structural,season,2025-11-20,1311.156355,1272.157008,2.974423845
structural,season,2025-11-21,1609.947201,1628.600494,-1.158627646
structural,season,2025-11-22,1502.210269,1514.180307,-0.7968283689
structural,season,2025-11-23,1398.561111,1363.179743,2.529840677
structural,season,2025-11-24,1172.202766,1137.061217,2.997907062
structural,season,2025-11-25,1360.275479,1319.525658,2.995703575
structural,season,2025-11-26,1430.724105,1387.517283,3.01992693
structural,season,2025-11-27,1289.889958,1247.253741,3.305415046
structural,season,2025-11-28,1557.661329,1575.662486,-1.155652816
structural,season,2025-11-29,1507.077621,1516.121172,-0.600071994
structural,season,2025-11-30,1744.518137,1700.964487,2.496600592
structural,season,2025-12-01,994.5601455,994.5601455,0
structural,season,2025-12-02,1125.914735,1121.97655,0.3497764515
structural,season,2025-12-03,1031.758207,1024.588845,0.6948683614
structural,season,2025-12-04,957.3492901,947.3738652,1.041983837
structural,season,2025-12-05,1726.834788,1741.679983,-0.8596766459
structural,season,2025-12-06,1615.952342,1623.292165,-0.45421034
structural,season,2025-12-07,1015.713335,1008.913321,0.6694816425
structural,season,2025-12-08,1046.685233,1036.57771,0.9656697847
structural,season,2025-12-09,974.0187579,961.9543068,1.23862616
structural,season,2025-12-10,1051.312079,1035.909348,1.465095983
structural,season,2025-12-11,867.232151,852.2982186,1.722022449
structural,season,2025-12-12,1693.264047,1708.469096,-0.8979727122
structural,season,2025-12-13,1624.75312,1634.693086,-0.6117831846
structural,season,2025-12-14,1066.731438,1052.12059,1.369683912
structural,season,2025-12-15,1129.248229,1112.284708,1.502195954
structural,season,2025-12-16,1074.712975,1055.726849,1.766622887
structural,season,2025-12-17,930.3799458,909.9966302,2.190859308
structural,season,2025-12-18,918.7173233,899.1409276,2.130839948
structural,season,2025-12-19,1711.384862,1729.998097,-1.087612451
structural,season,2025-12-20,1669.919216,1684.155709,-0.8525258854
structural,season,2025-12-21,1072.790831,1054.013117,1.75036117
structural,season,2025-12-22,945.2640796,925.1709937,2.125658467
structural,season,2025-12-23,847.0493764,827.4425286,2.314723124
structural,season,2025-12-24,890.492038,869.3114046,2.378531477
structural,season,2025-12-25,887.763463,865.455872,2.512785431
structural,season,2025-12-26,1747.297972,1766.396211,-1.093015548
structural,season,2025-12-27,1678.856814,1693.615668,-0.8791014161
structural,season,2025-12-28,850.1053009,832.5768207,2.0619187
structural,season,2025-12-29,851.1547055,831.4328082,2.317075524
structural,season,2025-12-30,785.1227724,767.5322804,2.240476602
structural,season,2025-12-31,907.0064656,884.0953208,2.526017807
forward,net_lag_7d,2025-02-01,2678.05216,687.7525584,74.31892595
forward,net_lag_7d,2025-02-02,719.7754871,683.6649615,5.016915166
forward,net_lag_7d,2025-02-03,649.8829294,527.8666864,18.77511126
forward,net_lag_7d,2025-02-04,575.0620631,402.478811,30.01123934
forward,net_lag_7d,2025-02-05,576.2513518,435.4417466,24.435449
forward,net_lag_7d,2025-02-06,562.9187679,438.0337363,22.18526698
forward,net_lag_7d,2025-02-07,2959.595613,930.4229251,68.56249817
forward,net_lag_7d,2025-02-08,2773.923014,737.9889778,73.3954773
forward,net_lag_7d,2025-02-09,645.9509401,468.0700223,27.53783714
forward,net_lag_7d,2025-02-10,807.6529788,855.2375297,-5.891707471
forward,net_lag_7d,2025-02-11,689.1685515,679.061042,1.466623733
forward,net_lag_7d,2025-02-12,683.0311346,663.6793684,2.833218752
forward,net_lag_7d,2025-02-13,889.3795484,1024.471091,-15.18941413
